"id","userId","sessionId","userQuestion","aiResponse","context","responseTime","rating","timestamp","createdAt"
"cmifyj8180j9q2o7go28uenx5","cmifyishu00002o7gtdkj5jla","SESSION-0000001","How can I optimize fuel consumption?","Based on the current operational data and historical patterns, I recommend optimizing truck allocation to improve efficiency.","{""shift"":""SIANG"",""weather"":""CLOUDY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",805,,"2025-11-08T19:04:48.617Z","2025-11-26T12:04:48.620Z"
"cmifyj81b0j9s2o7gljb7ugnt","cmifyishy00012o7g5f3sqd4j","SESSION-0000001","What shift has the highest production?","Based on the current operational data and historical patterns, I recommend adjusting shift schedules to improve efficiency.","{""shift"":""MALAM"",""weather"":""CLOUDY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",1088,3,"2025-11-20T18:04:48.617Z","2025-11-26T12:04:48.623Z"
"cmifyj81c0j9u2o7gliri2vw3","cmifyisi000022o7gx8n20wsn","SESSION-0000001","How to reduce delay probability?","Based on the current operational data and historical patterns, I recommend adjusting shift schedules to improve efficiency.","{""shift"":""MALAM"",""weather"":""RAINY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",2758,1,"2025-10-28T06:04:48.617Z","2025-11-26T12:04:48.624Z"
"cmifyj81d0j9w2o7g2ko0mrtu","cmifyisi200032o7gon1xznii","SESSION-0000001","Show me truck maintenance schedule","Based on the current operational data and historical patterns, I recommend optimizing truck allocation to improve efficiency.","{""shift"":""MALAM"",""weather"":""CLOUDY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",735,2,"2025-11-14T08:04:48.617Z","2025-11-26T12:04:48.626Z"
"cmifyj81e0j9y2o7ggzjruc1a","cmifyisi300042o7g3tvo88ol","SESSION-0000001","How can I optimize fuel consumption?","Based on the current operational data and historical patterns, I recommend optimizing truck allocation to improve efficiency.","{""shift"":""MALAM"",""weather"":""CLOUDY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",2812,3,"2025-10-27T22:04:48.617Z","2025-11-26T12:04:48.627Z"
"cmifyj81g0ja02o7gnnwbwzto","cmifyisi500052o7gjr2z6c0w","SESSION-0000002","What shift has the highest production?","Based on the current operational data and historical patterns, I recommend adjusting shift schedules to improve efficiency.","{""shift"":""PAGI"",""weather"":""CLOUDY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",2002,3,"2025-10-30T16:04:48.617Z","2025-11-26T12:04:48.628Z"
"cmifyj81h0ja22o7g5mg1sllk","cmifyisi600062o7guk0scdkf","SESSION-0000002","Show me truck maintenance schedule","Based on the current operational data and historical patterns, I recommend adjusting shift schedules to improve efficiency.","{""shift"":""PAGI"",""weather"":""SUNNY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",1189,4,"2025-11-06T16:04:48.617Z","2025-11-26T12:04:48.629Z"
"cmifyj81i0ja42o7goemhub33","cmifyisi800072o7g25jhm63p","SESSION-0000002","How can I optimize fuel consumption?","Based on the current operational data and historical patterns, I recommend optimizing truck allocation to improve efficiency.","{""shift"":""SIANG"",""weather"":""SUNNY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",2252,1,"2025-11-08T05:04:48.617Z","2025-11-26T12:04:48.630Z"
"cmifyj81j0ja62o7gvv0t30u1","cmifyisi900082o7gsxp3c3z5","SESSION-0000002","How can I optimize fuel consumption?","Based on the current operational data and historical patterns, I recommend adjusting shift schedules to improve efficiency.","{""shift"":""SIANG"",""weather"":""RAINY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",2229,,"2025-11-11T16:04:48.617Z","2025-11-26T12:04:48.632Z"
"cmifyj81k0ja82o7g9pm1hurm","cmifyisia00092o7ggou2cuom","SESSION-0000002","How can I optimize fuel consumption?","Based on the current operational data and historical patterns, I recommend adjusting shift schedules to improve efficiency.","{""shift"":""PAGI"",""weather"":""RAINY"",""topStrategies"":[""Strategy A"",""Strategy B"",""Strategy C""]}",2234,2,"2025-11-22T08:04:48.617Z","2025-11-26T12:04:48.633Z"
